PlayerId,PlayerName
1,Nicolas Batum
2,LaMarcus Aldridge
3,Robin Lopez
4,Wesley Matthews
5,Damian Lillard
6,Thomas Robinson
7,Maurice Williams
8,Will Barton
9,Dorell Wright
10,Earl Watson
11,CJ McCollum
12,Meyers Leonard
13,Victor Claver
14,Kent Bazemore
15,Pau Gasol
16,Chris Kaman
17,Jodie Meeks
18,Kendall Marshall
19,Steve Nash
20,Xavier Henry
21,Robert Sacre
22,Ryan Kelly
23,Nick Young
24,Marshon Brooks
25,Jordan Hill
26,Wesley Johnson
27,Andre Iguodala
28,Draymond Green
29,Jermaine O'Neal
30,Klay Thompson
31,Stephen Curry
32,Marreese Speights
33,Harrison Barnes
34,Steve Blake
35,Jordan Crawford
36,Hilton Armstrong
37,Andrew Bogut
38,David Lee
39,Shawn Marion
40,Dirk Nowitzki
41,Samuel Dalembert
42,Monta Ellis
43,Jose Calderon
44,Vince Carter
45,Brandan Wright
46,Devin Harris
47,Jae Crowder
48,DeJuan Blair
49,Wayne Ellington
50,Bernard James
51,Shane Larkin
52,Chandler Parsons
53,Donatas Motiejunas
54,Omer Asik
55,James Harden
56,Jeremy Lin
57,Omri Casspi
58,Francisco Garcia
59,Isaiah Canaan
60,Jordan Hamilton
61,Patrick Beverley
62,Dwight Howard
63,Terrence Jones
64,Greg Smith
65,Joe Johnson
66,Paul Pierce
67,Mason Plumlee
68,Shaun Livingston
69,Deron Williams
70,Alan Anderson
71,Andray Blatche
72,Mizra Teletovic
73,Jorge Gutierrez
74,Marquis Teague
75,Jason Collins
76,Andrei Kirilenko
77,Marcus Thornton
78,JR Smith
79,Carmelo Anthony
80,Tyson Chandler
81,Iman Shumpert
82,Raymond Felton
83,Timothy Hardaway Jr.
84,Pablo Prigioni
85,Cole Aldrich
86,Jeremy Tyler
87,Shannon Brown
88,Toure Murry
89,Amar'e Stoudemire
90,Richard Jefferson
91,Marvin Williams
92,Derrick Favors
93,Gordon Hayward
94,Trey Burke
95,Enes Kanter
96,Alec Burks
97,Diante Garrett
98,Ian Clark
99,Rudy Gobert
